Division,MatchDate,HomeTeam,AwayTeam,HomeElo,AwayElo,Form3Home,Form5Home,Form3Away,Form5Away,FTResult,GF3Home,GA3Home,GF5Home,GA5Home,GF3Away,GA3Away,GF5Away,GA5Away,h_xg,a_xg,league,xG_diff,xg_margin,xg_ratio,rolling_xg_home_5,rolling_xg_away_5
SP1,2014-09-13,Malaga,Levante,1749.51,1717.5,6.0,7.0,0.0,6.0,D,2.0,3.0,3.0,5.0,0.0,6.0,4.0,6.0,0.819725,0.358265,ESP-La Liga,0.46146000000000004,0.46146000000000004,2.288034588825063,0.819725,0.358265
I1,2014-09-13,Juventus,Udinese,1895.43,1611.38,9.0,15.0,5.0,8.0,H,5.0,0.0,9.0,1.0,7.0,5.0,12.0,10.0,1.10828,0.201525,ITA-Serie A,0.906755,0.906755,5.499439278306521,1.10828,0.201525
D1,2014-09-13,Hoffenheim,Wolfsburg,1692.76,1754.64,7.0,8.0,4.0,8.0,D,6.0,2.0,8.0,5.0,6.0,5.0,10.0,8.0,1.15845,1.63553,GER-Bundesliga,-0.47707999999999995,0.47707999999999995,0.7083020743721764,1.3435899999999998,1.4169749999999999
E0,2014-09-13,Crystal Palace,Burnley,1612.36,1606.85,1.0,3.0,1.0,5.0,D,5.0,8.0,10.0,13.0,1.0,4.0,4.0,6.0,0.780534,1.2493,ENG-Premier League,-0.4687660000000001,0.4687660000000001,0.624776575060774,0.6989084999999999,1.0463155
E0,2014-09-13,Liverpool,Aston Villa,1904.48,1631.72,6.0,10.0,7.0,7.0,A,6.0,4.0,11.0,8.0,3.0,1.0,3.0,8.0,0.728097,0.701676,ENG-Premier League,0.026421000000000028,0.026421000000000028,1.0376526521462155,1.0300085,0.701676
E0,2014-09-13,Southampton,Newcastle United,1721.45,1642.87,4.0,8.0,2.0,5.0,H,4.0,3.0,6.0,4.0,3.0,5.0,7.0,7.0,2.11739,1.15026,ENG-Premier League,0.9671299999999998,0.9671299999999998,1.8407909161485958,1.3916214999999998,0.9247775
E0,2014-09-13,Sunderland,Tottenham,1640.86,1797.6,2.0,5.0,6.0,9.0,D,3.0,4.0,6.0,7.0,5.0,3.0,8.0,5.0,0.338966,2.03694,ENG-Premier League,-1.6979739999999999,1.6979739999999999,0.16640933635289387,0.5027275,1.5270000000000001
E0,2014-09-13,West Bromwich Albion,Everton,1625.01,1810.03,2.0,2.0,2.0,5.0,A,2.0,5.0,3.0,9.0,7.0,10.0,11.0,13.0,0.602059,0.807492,ENG-Premier League,-0.20543299999999998,0.20543299999999998,0.7455903642508356,1.1427445,0.7103824999999999
E0,2014-09-13,Chelsea,Swansea,1934.08,1698.4,9.0,13.0,9.0,12.0,H,11.0,4.0,13.0,5.0,6.0,1.0,9.0,3.0,3.56581,1.02153,ENG-Premier League,2.5442799999999997,2.5442799999999997,3.49065275552088,2.7976,0.649803
SP1,2014-09-14,Sevilla,Getafe,1844.59,1709.47,7.0,8.0,6.0,10.0,H,6.0,3.0,6.0,4.0,4.0,4.0,7.0,6.0,2.03978,0.30148,ESP-La Liga,1.7383,1.7383,6.765865842291886,1.605875,0.30148
SP1,2014-09-14,Granada,Villarreal,1676.45,1788.64,7.0,8.0,6.0,10.0,D,4.0,2.0,5.0,5.0,4.0,2.0,8.0,2.0,0.421198,0.634854,ESP-La Liga,-0.213656,0.213656,0.6634554347055627,0.421198,1.824487
I1,2014-09-14,Sampdoria,Torino,1560.52,1638.18,2.0,5.0,3.0,9.0,H,6.0,9.0,8.0,12.0,3.0,3.0,6.0,3.0,0.421195,0.389513,ITA-Serie A,0.03168199999999999,0.03168199999999999,1.0813346888686928,0.421195,0.389513
I1,2014-09-14,Napoli,Chievo,1777.55,1540.86,9.0,13.0,6.0,6.0,A,12.0,4.0,15.0,4.0,3.0,2.0,4.0,5.0,2.2055,0.667533,ITA-Serie A,1.5379669999999996,1.5379669999999996,3.303951559021712,2.2055,0.667533
I1,2014-09-14,Lazio,Cesena,1635.38,1467.2,3.0,7.0,4.0,10.0,H,3.0,7.0,8.0,10.0,2.0,3.0,5.0,4.0,1.55271,0.154651,ITA-Serie A,1.398059,1.398059,10.040025347231202,1.55271,0.154651
I1,2014-09-14,Inter,Sassuolo,1676.13,1525.03,4.0,5.0,4.0,7.0,H,5.0,3.0,5.0,4.0,6.0,5.0,11.0,11.0,3.96571,0.483421,ITA-Serie A,3.482289,3.482289,8.20341233952944,3.96571,0.483421
I1,2014-09-14,Fiorentina,Genoa,1702.7,1559.17,4.0,7.0,3.0,5.0,D,3.0,4.0,9.0,8.0,4.0,6.0,5.0,7.0,2.09923,0.230085,ITA-Serie A,1.8691449999999998,1.8691449999999998,9.123675495249602,2.09923,0.230085
